user,rating,komentar,timestamp,sentimen,platform
sarmang sarjang,1,ga ada driver,15/04/2026 15:51,negatif,Google Maps
inara putri ismail,5,ok,15/04/2026 15:26,positif,Google Maps
Sano Manjiro,1,ampas,15/04/2026 15:26,negatif,Google Maps
dhiana richard,5,Cepet bgt service nya bagus...go...go...gojek,15/04/2026 15:20,positif,Google Maps
Ayu Sari,5,ok banget,15/04/2026 15:14,positif,Google Maps
Pengguna Google,3,"masih JD pilihan saya, tapi k3napa sekarang sering banget dapat driver yg jauh2",15/04/2026 15:11,netral,Google Maps
keanu siuu,5,bagus,15/04/2026 15:08,positif,Google Maps
Santy Syah,5,Trimakasih👍,15/04/2026 15:07,positif,Google Maps
Nur hikma Ramadhani,5,good,15/04/2026 15:02,positif,Google Maps
Juan Nabil B.,5,bagus,15/04/2026 15:01,positif,Google Maps
Ahmad Sholahuddin,5,Memiliki harga murah,15/04/2026 14:55,positif,Google Maps
yuni yuniubbab,5,cepat👍,15/04/2026 14:53,positif,Google Maps
Sarwoko Sragen,5,"ceoat tepat murah , untuk terus berinovasi .",15/04/2026 14:46,positif,Google Maps
Adek Carr,5,sangat bagus,15/04/2026 14:44,positif,Google Maps
Ali Maksum,5,ok,15/04/2026 14:41,positif,Google Maps
Nu ah,2,"pesan makanan 5x nggk ada driver yg mau, unistal langsung dwonload Grab mantul Grab sekrg jdi langganan beli makanan hehhe",15/04/2026 14:26,negatif,Google Maps
Denias Wahyu saputra,5,mantap banyak promonya,15/04/2026 14:21,positif,Google Maps
Rosi Musyarifah,5,Berpergian yg aman & nyaman•,15/04/2026 13:55,positif,Google Maps
Rudiansyah Putra,1,sangat jelek,15/04/2026 13:48,negatif,Google Maps
Marliana KumbangSari,1,"makin kesini driver nya minim pelayanan , kasar gak ada etika nya dibidang pelayanan jadi kecewa gak mau pakai lagi kasihan gara gara 1 atau 2 orang semua jadi berdampak buruk",15/04/2026 13:20,negatif,Google Maps
Diani Puspitaningrum,5,good lah,15/04/2026 13:10,positif,Google Maps
Betawi Group Logistic,5,sangat bermanfaat dan cepat,15/04/2026 13:01,positif,Google Maps
Dimasrido 7477,5,sangat membantu untuk mengantarkan ke tempat tujuan dgn aman dan selamat,15/04/2026 12:54,positif,Google Maps
Nofri Laoli,5,layanan nya bagus,15/04/2026 12:38,positif,Google Maps
Sitata Kulon,5,bagus aplikasi gampang di gunakan,15/04/2026 12:32,positif,Google Maps
Pandu AsriYuda,5,mantap,15/04/2026 12:23,positif,Google Maps
Yayat Hidayat,5,"pelayanan cepat , ramah",15/04/2026 12:21,positif,Google Maps
Dimas Kris,5,Mantaap,15/04/2026 12:16,positif,Google Maps
Dentya Febriani,4,bagus membantu,15/04/2026 12:10,positif,Google Maps
Alfath Thoriq,5,👍🏼,15/04/2026 11:19,positif,Google Maps
Novan Malam,5,cukup puas,15/04/2026 11:12,positif,Google Maps
Didi Rahardi,5,keren banyak promo murah,15/04/2026 11:09,positif,Google Maps
Arif Purwanto,5,cepat gercep,15/04/2026 10:58,positif,Google Maps
Ady Zafra,1,Tolong ya kalo masih jauh jatuh tempo dari tanggal 1 Mei 2026 jangan nanggih di tanggal 15 april 2026 bikin ngga nyaman aja padahal rutin di bayar tiap bulan nya.,15/04/2026 10:53,positif,Google Maps
Fanny Fransisca,1,"pengen uninstall sejak ada order grup di gofood... diskon cm ada diskon grup doang. diskon & promo lain ga ada sama sekali. yang ada nambah gede biaya pengemasan, biaya jasa, biaya laennya.",15/04/2026 10:41,negatif,Google Maps
tcahyono03 wita,5,aman,15/04/2026 10:38,positif,Google Maps
Susan,5,gofood good nice,15/04/2026 10:21,positif,Google Maps
vier tina,5,drivernya baik,15/04/2026 09:55,positif,Google Maps
i'anah Rofeeqoh,3,"gojek sekarang susah yaa cari driver nya, apakah bener yg kata orang2, driver sebenernya banyak cuman yg diutamain dapet pelanggan driver yg bayar plus, kasian juga abang2 gojeknya.",15/04/2026 09:49,negatif,Google Maps
Yusron Amirul Persada,1,"Nyari driver lama banget. 30 menit cuman buat nyari driver. Udah pakai gojek reguler bahkan comfort ttp aja lama nyarinya. Dulu sekalipun di jam sibuk, masih gampang dpt driver. mending beralih ke ojek pangkalan aja kalo gini. Saya kasih tau nih, kemarin selasa 14 April di lrt harjamukti. Banyak yg beralih ke ojek pangkalan, sama aplikasi taksi lain. Kalo gojek ttp gini, tinggal tunggu aja ini perusahaan kolaps.",15/04/2026 09:30,negatif,Google Maps
Iin Indriyani,5,aman berkendara🤗🤗,15/04/2026 09:24,positif,Google Maps
Andrie Ansyah,3,semoga lebih murah,15/04/2026 09:21,positif,Google Maps
Heni Nuraeni,5,penjemputan ok.,15/04/2026 09:13,positif,Google Maps
Andreas Rustamaji,5,mantap deh pokoknya,15/04/2026 09:09,positif,Google Maps
Sunandar Daday,5,ok,15/04/2026 09:07,positif,Google Maps
Serwin,5,ok,15/04/2026 08:58,positif,Google Maps
Batur Nainggolan,3,kasih 3 dulu nanti kalo nyaman tambah lagi,15/04/2026 08:28,positif,Google Maps
Galuh Official,5,ok banget,15/04/2026 08:23,positif,Google Maps
fitriaazahra,5,sat set,15/04/2026 08:08,positif,Google Maps
Maryo Leo,4,bagus,15/04/2026 08:07,positif,Google Maps
Zainur Rukiandi1977,5,sangat membantu,15/04/2026 07:57,positif,Google Maps
ReskiWahyuni 2016,5,Sangat membantu dalam proses pengiriman barang,15/04/2026 07:55,positif,Google Maps
Dini Anggraeni,4,"kenapa ya gojek kalo lagi beres ujan susah banget, pdhl banyak loh disekitaran, terkesan ga mau ambil penumpang, giliran yg harga mahal baru mau ambil",15/04/2026 07:44,negatif,Google Maps
guntur dei,5,TERBAIK. SANGAT MEMBANTU,15/04/2026 07:41,positif,Google Maps
Green Moss Gadget,3,"hrsnya makanan minuman klo beli min 75rb dpt diskon paling ga 10%, sy sering beli makanan diatas 80rb jadi berat, lagian sekalian bantu UMKM. kedua hrsnya kalo driver ga bisa anter barang/lama bisa dicancel dr cust",15/04/2026 07:34,negatif,Google Maps
egi jarot,5,sangat terbantu,15/04/2026 06:55,positif,Google Maps
Dedi Gunawan,5,lumayan buat keperluan mendadak jadi praktis,15/04/2026 06:54,positif,Google Maps
Dini Angelasari,5,good all in,15/04/2026 06:52,positif,Google Maps
Seha Fardillah,3,sekarang sudah dapet drivernya kenapa??,15/04/2026 06:48,netral,Google Maps
Arini Iradati,4,Waaaaaaaaw,15/04/2026 06:39,positif,Google Maps
Julia Restu,1,Biasanya selalu suka dengan kecepatan gojek dalam mencari driver. namun sayangnya sekarang-sekarang ini banyak driver yang sudah kita tunggu lama tpi ga ada respon bahkan membuat kita menunggu lama. salah satu oknum drivernya bernama Iman Juju yang sering kali saya dapatkan tpi tidak ada respon padahal radiusnya dekat. membuat saya terlambat karena mendapatkan driver yang tidak niat seperti si Iman Juju ini. Tolong beri teguran bagi driver yang tidak siap dalam melayani konsumen. Thx,15/04/2026 06:28,negatif,Google Maps
joker galau,5,bagus dan manfaat,15/04/2026 05:48,positif,Google Maps
Dwi Encin,5,baik dan sopan,15/04/2026 03:04,positif,Google Maps
ACENG,5,salam satu aspal,15/04/2026 02:46,positif,Google Maps
Dedi Junaidi,1,"saya pesan Gofood, udah 1jam gak dapet driver.. tidak ada kompensasi sama sekali oleh pihak Gojek,. padahal sudah jelas telat lebih dari 1jam.",15/04/2026 01:38,negatif,Google Maps
Benny Kuswoyo,1,"kebanyakan update, dan koin dikit pula",15/04/2026 00:07,negatif,Google Maps
Aditya Syahputra,1,jelek,15/04/2026 00:03,negatif,Google Maps
kzuua,3,"waw harganya sering naik turun ya untuk ongkirnya, trus games di gojek-nya loading lama bangetttt padahal biasanya enggak. wifi lancar dan internet juga.",14/04/2026 23:50,negatif,Google Maps
Muhammad Zuljani,5,ok,14/04/2026 23:48,positif,Google Maps
Hamdi Kurniawan,1,"gofood GAK pernh ada vocer, itu pun cuma sekali sisanya mahal terus . jadi setiap cek langsung hapus.",14/04/2026 23:42,negatif,Google Maps
Febytrvnia12,5,aku udah pake dari lama abanya juga pada ramah ramah,14/04/2026 23:40,positif,Google Maps
Jocelyn Melinda,1,"CS nya ga sopan, gabisa nyelesain masalah.",14/04/2026 23:37,negatif,Google Maps
